rank,mode,kernel,N,M,Nmat,K,ms_gpu,GFLOPs,GBs
0,axpy,axpy,50000000,0,0,0,1.080960,0.000,555.062
0,axpy,axpy,25000000,0,0,0,0.644256,0.000,465.653
1,axpy,axpy,25000000,0,0,0,0.667456,0.000,449.468
0,axpy,axpy,12500000,0,0,0,0.280224,0.000,535.286
1,axpy,axpy,12500000,0,0,0,0.374240,0.000,400.812
2,axpy,axpy,12500000,0,0,0,0.374880,0.000,400.128
3,axpy,axpy,12500000,0,0,0,0.371456,0.000,403.816
0,axpy,axpy,100000000,0,0,0,2.153792,0.000,557.157
1,axpy,axpy,50000000,0,0,0,1.183744,0.000,506.866
0,axpy,axpy,50000000,0,0,0,1.192448,0.000,503.167
3,axpy,axpy,25000000,0,0,0,0.649952,0.000,461.573
2,axpy,axpy,25000000,0,0,0,0.560288,0.000,535.439
1,axpy,axpy,25000000,0,0,0,0.649312,0.000,462.027
0,axpy,axpy,25000000,0,0,0,0.643744,0.000,466.024
0,add,add,1000000,0,0,0,0.028064,0.000,427.594
0,add,add,500000,0,0,0,0.114272,0.000,52.506
1,add,add,500000,0,0,0,0.119968,0.000,50.013
0,add,add,250000,0,0,0,0.187296,0.000,16.017
1,add,add,250000,0,0,0,0.018080,0.000,165.929
2,add,add,250000,0,0,0,0.019936,0.000,150.482
3,add,add,250000,0,0,0,0.151392,0.000,19.816
0,add,add,5000000,0,0,0,0.114048,0.000,526.094
1,add,add,2500000,0,0,0,0.085280,0.000,351.782
0,add,add,2500000,0,0,0,0.150432,0.000,199.426
0,add,add,1250000,0,0,0,0.036736,0.000,408.319
2,add,add,1250000,0,0,0,0.033280,0.000,450.721
1,add,add,1250000,0,0,0,0.033120,0.000,452.899
3,add,add,1250000,0,0,0,0.035072,0.000,427.692
0,add,add,10000000,0,0,0,0.221440,0.000,541.908
1,add,add,5000000,0,0,0,0.209184,0.000,286.829
0,add,add,5000000,0,0,0,0.208192,0.000,288.196
1,add,add,2500000,0,0,0,0.067584,0.000,443.892
0,add,add,2500000,0,0,0,0.056288,0.000,532.973
2,add,add,2500000,0,0,0,0.055552,0.000,540.035
3,add,add,2500000,0,0,0,0.192864,0.000,155.550
0,add,add,50000000,0,0,0,1.080544,0.000,555.276
0,add,add,25000000,0,0,0,0.662848,0.000,452.592
1,add,add,25000000,0,0,0,0.637312,0.000,470.727
1,add,add,12500000,0,0,0,0.284704,0.000,526.863
0,add,add,12500000,0,0,0,0.376416,0.000,398.495
3,add,add,12500000,0,0,0,0.377024,0.000,397.853
2,add,add,12500000,0,0,0,0.371936,0.000,403.295
0,add,add,100000000,0,0,0,2.152288,0.000,557.546
0,add,add,50000000,0,0,0,1.124192,0.000,533.717
1,add,add,50000000,0,0,0,1.181312,0.000,507.910
1,add,add,25000000,0,0,0,0.558400,0.000,537.249
0,add,add,25000000,0,0,0,0.573632,0.000,522.983
3,add,add,25000000,0,0,0,0.558048,0.000,537.588
2,add,add,25000000,0,0,0,0.898624,0.000,333.844
0,copy,copy,1000000,0,0,0,0.022048,0.000,362.845
1,copy,copy,500000,0,0,0,0.121888,0.000,32.817
0,copy,copy,500000,0,0,0,0.029344,0.000,136.314
1,copy,copy,250000,0,0,0,0.241024,0.000,8.298
0,copy,copy,250000,0,0,0,0.018720,0.000,106.838
2,copy,copy,250000,0,0,0,0.022816,0.000,87.658
3,copy,copy,250000,0,0,0,0.103424,0.000,19.338
0,copy,copy,5000000,0,0,0,0.080000,0.000,500.000
0,copy,copy,2500000,0,0,0,0.134304,0.000,148.916
1,copy,copy,2500000,0,0,0,0.065600,0.000,304.878
0,copy,copy,1250000,0,0,0,0.119104,0.000,83.960
1,copy,copy,1250000,0,0,0,0.121888,0.000,82.043
